Authors;Author full names;Author(s) ID;Title;Year;Fuente;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;DOI;Cited by;Link;Affiliations;Abstract;Indexed Keywords;Author Keywords;Funding Details;Funding Texts;Publisher;ISSN;ISBN;Language of Original Document;Abbreviated Source Title;Document Type;Open Access;Source
"Maldonado F.; Rivera R.; Villamagua L.; Maldonado J.";"Maldonado, Frank (16022257200); Rivera, Richard (25822866200); Villamagua, Luis (16680454400); Maldonado, Jimmy (57202548362)";"16022257200; 25822866200; 16680454400; 57202548362";                         DFT modelling of ethanol on BaTiO                         3                          (0?0?1) surface                     ;2018;Scopus;Applied Surface Science;456;;;276;289;13;10.1016/j.apsusc.2018.06.122;11;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048704882&doi=10.1016%2fj.apsusc.2018.06.122&partnerID=40&md5=038398126714cf22528a39a8add7382d;;;;"                             BaTiO                             <sub>3</sub>                              (0?0?1)                         ; Density of states; DFT?+?U; Electron localization function; Ethanol; vdW";;;Elsevier B.V.;1694332;;English;Appl Surf Sci;Article;;Scopus
;;;                         Latin American and Caribbean consensus on noninvasive central nervous system neuromodulation for chronic pain management (LAC                         2                         -NIN-CP)                     ;2019;Scopus;Pain Reports;4;1;e692;;;;10.1097/PR9.0000000000000692;30;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061476557&doi=10.1097%2fPR9.0000000000000692&partnerID=40&md5=5260424fabb556acc843c2f03791a31c;;;;"Mixed pain; Neuropathic pain; Nociceptive pain; RTMS; TDCS";;;Lippincott Williams and Wilkins;24712531;;English;Pain Rep.;Conference paper;"All Open Access; Gold Open Access; Green Open Access";Scopus
Macanchí M.A.C.;Macanchí, Marco Alexander Chininín (56964378900);56964378900;"""Global"" Sovereignty. The Latin American Case; [Soberanía ""globalizada"". El caso latinoamericano]";2015;Scopus;Daimon;;66;;41;54;13;10.6018/daimon/187221;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947281083&doi=10.6018%2fdaimon%2f187221&partnerID=40&md5=8b8c57ea556e7c23e806fd5196f08668;Docente en la Universidad Técnica Particular de Loja (Ecuador) y Abogado Externo, Doctor en Filosofía Por la Universidad Del País Vasco, Derecho de la Integración y Filosofía Del Derecho, Spain;;;"Community Law; Constitution; Constitutional Law; Right of Integration; Sovereignty and Globalization";;;Universidad de Murcia Servicio de Publicaciones;11300507;;Spanish;Daimon;Article;;Scopus
"Sánchez-Vázquez L.; Espinosa-Quezada M.G.; Eguiguren-Riofrío M.B.";"Sánchez-Vázquez, Luis (55887030800); Espinosa-Quezada, María Gabriela (56974536900); Eguiguren-Riofrío, María Beatriz (56974311600)";"55887030800; 56974536900; 56974311600";"""Golden reality"" or the ""reality of gold"": Artisanal mining and socio-environmental conflict in Chinapintza, Ecuador";2016;Scopus;Extractive Industries and Society;3;1;;124;128;4;10.1016/j.exis.2015.11.004;12;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947982782&doi=10.1016%2fj.exis.2015.11.004&partnerID=40&md5=5c6025012de78796d0fa71f84adae175;Observatorio de Conflictos Socioambientales, Universidad Técnica Particular de Loja, San Cayetano Alto s/n, 11-01-608, Ecuador;;;"Artisanal gold mining; Ecuador; Perception; Socio-environmental conflicts";;;Elsevier Ltd;2214790X;;English;Extr. Ind. Soc.;Article;;Scopus
"Rios M.; Tinitana F.; Jarrín-v P.; Donoso N.; Romero-Benavides J.C.";"Rios, Montserrat (7101679387); Tinitana, Fani (57190122700); Jarrín-v, Pablo (8685588100); Donoso, Natalia (57115363900); Romero-Benavides, Juan Carlos (55511748229)";"7101679387; 57190122700; 8685588100; 57115363900; 55511748229";"""Horchata"" drink in Southern Ecuador: Medicinal plants and people's wellbeing";2017;Scopus;Journal of Ethnobiology and Ethnomedicine;13;1;18;;;;10.1186/s13002-017-0145-z;28;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014924583&doi=10.1186%2fs13002-017-0145-z&partnerID=40&md5=f2dc59d4ddce653da3226421a5c1eb88;;;;"Cluster analysis; Factor of informant consensus; Fidelity level; Herbal mixture; Horchata drink; Loja province; Medicinal plants; Traditional markets";"Jardín Botánico de Quito; UTPL; Universidad Politécnica de Madrid, UPM; Secretaría de Educación Superior, Ciencia, Tecnología e Innovación, SENESCYT";;BioMed Central Ltd.;17464269;;English;J. Ethnobiology Ethnomedicine;Article;"All Open Access; Gold Open Access; Green Open Access";Scopus
"Morocho V.; Valle A.; García J.; Gilardoni G.; Cartuche L.; Suárez A.I.";"Morocho, Vladimir (49964019600); Valle, Andrea (57200258854); García, Jessica (57200256916); Gilardoni, Gianluca (7801428464); Cartuche, Luis (55652699800); Suárez, Alírica I. (7202765539)";"49964019600; 57200258854; 57200256916; 7801428464; 55652699800; 7202765539";?-Glucosidase inhibition and antibacterial activity of secondary metabolites from the ecuadorian species clinopodium taxifolium (kunth) govaerts;2018;Scopus;Molecules;23;1;146;;;;10.3390/molecules23010146;17;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040507645&doi=10.3390%2fmolecules23010146&partnerID=40&md5=8901f48eca92c64bec967a50edc425e8;"Departamento de Química y Ciencias Exactas, Universidad Técnica Particular de Loja (UTPL), Loja, 1101608, Ecuador; Facultad de Farmacia, Universidad Central de Venezuela, Caracas, 1040, Venezuela";;;"Clinopodium taxifolium; Ecuador; Essential oil; Klebsiella pneumoniae; Ursolic acid; ?-glucosidase";;;MDPI AG;14203049;;English;Molecules;Article;"All Open Access; Gold Open Access; Green Open Access";Scopus
"Jaramillo-fierro X.; Hernández K.; González S.";"Jaramillo-fierro, Ximena (55575639700); Hernández, Karol (57681388600); González, Silvia (55553175500)";"55575639700; 57681388600; 55553175500";[Cu(C3H3N3S3)3] Adsorption onto ZnTiO3/TiO2 for Coordination-Complex Sensitized Photochemical Applications;2022;Scopus;Materials;15;9;3252;;;;10.3390/ma15093252;5;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129993376&doi=10.3390%2fma15093252&partnerID=40&md5=941b6e15ce682e7be8a5d1b35971dfb2;;;;"adsorp-tion; coordination-polymers; DFT; photocatalysis; photosensitization; semiconductors";Universidad Técnica Particular de Loja, UTPL;This research was funded by Universidad Técnica Particular de Loja, Ecuador.;MDPI;19961944;;English;Mater.;Article;"All Open Access; Gold Open Access; Green Open Access";Scopus
"Córdova-Tapia R.-A.; Forteza-Martínez A.; Rivera-Rogel D.";"Córdova-Tapia, Rebeca-Alejandra (57222223563); Forteza-Martínez, Aurora (57807289500); Rivera-Rogel, Diana (56003677900)";"57222223563; 57807289500; 56003677900";"‘EDUTUBERS’. COMPARATIVE STUDY OF THE ANDEAN COMMUNITY AND SPAIN; [‘EDUTUBERS’. ESTUDIO COMPARATIVO DE LA COMUNIDAD ANDINA Y ESPAÑA]";2022;Scopus;Index.comunicacion;12;2;;29;53;24;10.33732/ixc/12/02Edutub;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134327109&doi=10.33732%2fixc%2f12%2f02Edutub&partnerID=40&md5=e8d854f62fee8f907ee10d1a179167d5;"Universidad Técnica Particular de Loja (UTPL), Ecuador; Universidad de Huelva (UHU), Spain";;;"Education; Edutuber; Influencer; Social Networks; YouTube";;;Rey Juan Carlos University;24443239;;Spanish;Index.comunicacion.;Article;"All Open Access; Gold Open Access; Green Open Access";Scopus
"Valle-Carrión L.; Hildebrandt P.; Castro L.M.; Ochoa-Moreno W.-S.; Knoke T.";"Valle-Carrión, Liz (57214881360); Hildebrandt, Patrick (25927133700); Castro, Luz Maria (55326145300); Ochoa-Moreno, Wilman-Santiago (57194453420); Knoke, Thomas (57189897796)";"57214881360; 25927133700; 55326145300; 57194453420; 57189897796";“Simultaneous optimization model for thinning and harvesting Alnus acuminata and Pinus patula plantations in Southern Ecuador”;2021;Scopus;Scandinavian Journal of Forest Research;36;2-3;;144;154;10;10.1080/02827581.2020.1858956;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097997375&doi=10.1080%2f02827581.2020.1858956&partnerID=40&md5=2111225d8e55e42a6d3e74a7fe19f42f;;;;"Alnus acuminata; annuity; non-linear programing; Pinus patula; plantation management; simultaneous optimization";"Universidad Técnica Particular de Loja, UTPL; Secretaría de Educación Superior, Ciencia, Tecnología e Innovación, SENESCYT";;Taylor and Francis A.S.;2827581;;English;Scand. J. For. Res.;Article;;Scopus
"Shi D.; Zurada J.; Guan J.";"Shi, Donghui (36651786600); Zurada, Jozef (35593077400); Guan, Jian (50561192800)";"36651786600; 35593077400; 50561192800";A Bayesian network approach to classifying bad debt in hospitals;2016;Scopus;Proceedings of the Annual Hawaii International Conference on System Sciences;2016-March;;7427596;3298;3307;9;10.1109/HICSS.2016.412;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975457172&doi=10.1109%2fHICSS.2016.412&partnerID=40&md5=b518b776241bc819a62aa4752465575f;;;;"Bad debt recovery; Bayesian network; Classification; Healthcare industry";;;IEEE Computer Society;15301605;978-076955670-3;English;Proc. Annu. Hawaii Int. Conf. Syst. Sci.;Conference paper;;Scopus
