Duplicado_Author Name,Duplicado_Number of Documents,Original_Author Name,Original_Number of Documents
"Velásquez-Benavides, Andrea V.",6,"Velasquez-Benavides, Andrea",23
"González-Rentaría, Verónica",1,"González-Rentería, Verónica E.",3
"Gonzaga-Vallejo, Clara",4,"Gonzaga-Vallejo, Clara",2
"Ochoa-Jiménez, Diego A.",1,"Ochoa-Jiménez, Diego A.",9
"Gonzaga-Vallejo, L. Clara",1,"Gonzaga-Vallejo, Clara",2
"Cortés-García, Jose Salvador",1,"Cortés-García, Salvador",1
"Ortiz-León, Carlos",5,"Ortiz-León, Carlos",18
"Validiviezo-Diaz, Priscila",1,"Valdiviezo-Diaz, Priscila",39
"Jaramillo-Riofrío, Andrea",1,"Jaramillo-Riofrío, Andrea",2
"Oñate-Valivieso, Fernando",1,"Oñate-Valdivieso, Fernando",21
"Ludeña-González, Patricia",7,"Ludena-Gonzalez, Patricia",9
"Ordóñez-Delgado, Leonardo",22,"Ordó Ñez-Delgado, Leonardo",1
"Romero-Saritama, José Miguel",1,"Romero-Saritama, José Miguel",8
"García-Tinisaray, Daysi",1,"García-Tinisaray, Daisy",1
"González-Rentería, Verónica",9,"González-Rentería, Verónica E.",3
"Cumbicus Torres, Nixon L.",1,"Cumbicus Torres, Nixon L.",20
"Bustamante-Granda, Byron Fernando",1,"Bustamante-Granda, Byron Fernando",6
"Beltrán Flandoli, Ana María",7,"Beltrán-Flandoli, Ana María",8
"Chicaiza Espinosa, Janneth",1,"Chicaiza Espinosa, Janneth",56
"Vivanco-Galván, Oscar",9,"Vivanco-Galván, Oscar",2
"Armijos-Nanchi, Karla Mikaela",1,"Armijos-Lanchi, Karla Mikaela",1
"Cabrera, Armando",1,"Cabrera, S. Armando",8
"Barragán-Guerrero, Diego",1,"Barragán-Guerrero, Diego",3
"Guamán, Franco",4,"Guamán, Franco",3
"Romero-Pelaez, Audrey",2,"Romero-Pelaez, Audrey",8
"Llanez, Elvia Rosalia Inga",1,"Llanz, Elvia Rosalía Inga",1
"Carrión, J.",1,"Carrión, F.",1
"Cueva-Carrion, Samanta Patricia",15,"Cueva Carrión, Samanta Patricia",3
"Torres-Diaz, Juan Carlos",13,"Torres-Díaz, Juan Carlos",4
