Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID
"Orozco, Lorena Isabel Guevara",57191914089,1,"Agricultural and Biological Sciences
",
"León, Paulo Vélez",57247814000,8,"Arts and Humanities
",0000-0002-5133-5041
"Pineda, Jheyson Steven Gaona",57613385200,1,"Computer Science
",
"Elizalde, René",57203157751,4,"Computer Science
Engineering
Mathematics
Energy
Social Sciences
",
"Cisneros, Mónica",57376532300,1,"Agricultural and Biological Sciences
Social Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
",
"Ochoa-Moreno, Santiago",57224775751,5,"Computer Science
Environmental Science
Social Sciences
Energy
Economics, Econometrics and Finance
Agricultural and Biological Sciences
",
"Ochoa, Pablo",57062463800,13,"Environmental Science
Social Sciences
Earth and Planetary Sciences
Engineering
Agricultural and Biological Sciences
",0000-0003-2230-1026
"Granda, Daniel",57202942661,1,"Computer Science
",
"Silva, Karen",57215429925,1,"Earth and Planetary Sciences
",
"Navarrete Mendieta, Ginger",57219516825,1,"Social Sciences
Psychology
",
"Cuenca-Maldonado, Nilvar",58095164200,1,"Engineering
Computer Science
",
"Erazo-Bustamante, Silvana Esperanza",57211776858,1,"Social Sciences
",
"Ochoa-Jiménez, Diego A.",57004931100,9,"Computer Science
Energy
Environmental Science
Mathematics
Business, Management and Accounting
Economics, Econometrics and Finance
Social Sciences
Engineering
",0000-0003-4473-8165
"Gonzalez, Debora",57190664860,1,"Computer Science
",
"Figueroa, Jorge G.",55350538500,13,"Chemistry
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
",0000-0002-3403-1484
"Alcendra, John",57327141600,1,"Computer Science
",
"Torres-Gutiérrez, Mercedes",57970976800,1,"Social Sciences
Engineering
",
"Cuenca, Paul",57222705115,1,"Engineering
Computer Science
Social Sciences
",
"Rojas, Ruth Ortega",57553483000,1,"Veterinary
",
"Castillo Rivas, Diego Antonio",57224319914,1,"Mathematics
Computer Science
",
"Ruiz, Brad Noboa",57222591259,1,"Engineering
Physics and Astronomy
Materials Science
",
"Guarnizo, José",57205196177,1,"Computer Science
",
"Verdesoto, Christian",57889128600,2,"Engineering
Mathematics
Social Sciences
Computer Science
",
"Jiménez-Gaona, Yuliana",57220007027,6,"Computer Science
Physics and Astronomy
Materials Science
Engineering
Mathematics
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Nursing
",
"Villareal, Marielena",57211969301,1,"Medicine
",
"Montano, Vinicio",57202944830,1,"Computer Science
",
"Romero-Pelaez, Audrey",42862291600,8,"Computer Science
Social Sciences
Engineering
Arts and Humanities
Decision Sciences
",0000-0002-3710-1257
"Ruiz-Vivanco, Omar",57205360676,5,"Computer Science
Mathematics
Engineering
",0000-0003-3138-2737
"Cadme-Massa, Fernando",57763618800,1,"Social Sciences
Arts and Humanities
Medicine
",
"Cueva-Ojeda, Daniela Natali",57218511707,1,"Agricultural and Biological Sciences
",
"Espinosa, María Elena",57812631700,4,"Medicine
Environmental Science
",
"León, Joseph David Campoverde",57450871700,1,"Agricultural and Biological Sciences
",
"Torres-Lojan, Diana",57764120800,1,"Social Sciences
Arts and Humanities
Medicine
",
"Condolo, Juan",57210263125,1,"Computer Science
",
"Amay, Luis",57191575317,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Velasquez-Benavides, Andrea",57218384643,23,"Computer Science
Social Sciences
Engineering
Arts and Humanities
Economics, Econometrics and Finance
Mathematics
Decision Sciences
",0000-0003-0534-290X
"Vásquez, Silvia",57194063792,1,"Engineering
Computer Science
",
"Ordóñez, Kruzkaya E.",56367954300,36,"Computer Science
Social Sciences
Engineering
Decision Sciences
Arts and Humanities
Mathematics
Economics, Econometrics and Finance
Environmental Science
Energy
",
"Enciso, Liliana",55332768100,62,"Computer Science
Engineering
Business, Management and Accounting
Decision Sciences
Social Sciences
Mathematics
",0000-0002-2918-9033
"Ramos, Raul",57200741801,1,"Agricultural and Biological Sciences
Veterinary
",
"Flores, Paola",57191834088,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Toro, María Luisa",57225684260,1,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Chemistry
",
"Camacho, Gina",57195318214,2,"Computer Science
Social Sciences
",0000-0003-2889-8652
"Cortés-García, Salvador",58101768000,1,"Computer Science
",
"Aguirre-Fierro, Renata",57486923500,1,"Social Sciences
Arts and Humanities
Medicine
",
"Ruiz, Soraya",54682287200,1,"Chemistry
Biochemistry, Genetics and Molecular Biology
",
"Astudillo, Xavier",57200579716,1,"Medicine
",
"Gordillo, F.",35229066100,1,"Engineering
",
"Villarroel Dávila, Paola Carina",57226115134,1,"Business, Management and Accounting
Social Sciences
",
"Gavilanes Cueva, Yadira Patricia",57208052211,1,"Medicine
Social Sciences
",
"Cabrera, Rodrigo Xavier L.",57699485700,1,"Agricultural and Biological Sciences
",
"Freire, Daniela Aguilar",57203529174,1,"Social Sciences
",
"Febre, Luis",57818002000,1,"Computer Science
",
"Valle, Darwin",57222362492,1,"Multidisciplinary
",
"Quezada Loaiza, Enith",57213840787,1,"Business, Management and Accounting
Decision Sciences
",
"Granda-Viñan, Paola",58103176800,1,"Social Sciences
Engineering
",
"Suquilanda, Joselyn",57222226789,1,"Computer Science
",
"Sotomayor, Santiago",57195380854,1,"Environmental Science
Pharmacology, Toxicology and Pharmaceutics
",
"Toledo, Zorayda",56609170800,6,"Veterinary
Agricultural and Biological Sciences
Medicine
",
"Di Michele, Pierina D’Elia",58114350800,2,"Computer Science
Decision Sciences
",
"Orellana, Diego Fernando Pinto",57552835400,1,"Computer Science
Engineering
Social Sciences
",
"Daza, Edgar",57215487833,1,"Computer Science
",
"Cueva, Ruth",57196391152,1,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
",
"Villafuerte-Escudero, Dayanara",57195330303,2,"Computer Science
",
"Tene, Vicente",16067391100,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Cueva, Fredy",57474434300,1,"Engineering
",
"Espinosa, Gabriela",57344062300,1,"Social Sciences
Arts and Humanities
",
"Fuentes, Carlos Arturo San Andrés",57991676700,1,"Computer Science
",
"Bustamante, M.",57191529442,1,"Agricultural and Biological Sciences
Environmental Science
",
"Moreno, Santiago Ochoa",55908192900,1,"Environmental Science
Social Sciences
",
"Ochoa, Fabian",54893840900,1,"Computer Science
",
"Puchaicela Huaca, Carmen G.",57203506066,1,"Social Sciences
Arts and Humanities
",
"Gaibor-Monar, Fabián Mauricio",57192097229,1,"Engineering
Computer Science
",0000-0003-0304-0799
"Dávila, Fátima",57273287500,2,"Computer Science
Decision Sciences
",
"Marín, María Gabriela Álvarez",57210915484,2,"Medicine
",
"Matapuncho-Davila, Elvira",58103435100,1,"Social Sciences
Engineering
",
"Obregón, D.",57217370834,1,"Physics and Astronomy
Materials Science
Engineering
Mathematics
Computer Science
",
"Yaguana, Roddy",57205200747,1,"Computer Science
",
"Quezada-Ríos, Noelia",57195469870,1,"Agricultural and Biological Sciences
",
"Ordó Ñez-Delgado, Leonardo",57316724700,1,"Multidisciplinary
",
"Flores, Claudia Cartuche",57453816800,1,"Arts and Humanities
Social Sciences
",
"Cabrera, Karina S.",57197818040,1,"Business, Management and Accounting
Decision Sciences
",
"Sánchez-Rodríguez, Aminael",23991682900,57,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Medicine
Environmental Science
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Computer Science
Social Sciences
Multidisciplinary
Chemical Engineering
Chemistry
Neuroscience
",0000-0002-9269-0621
"Marcillo, Freddy",55791419600,6,"Physics and Astronomy
Materials Science
Computer Science
Engineering
Chemistry
",
"Eduarte Saltos, Ronald",57447723800,1,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Medicine
",
